Opening,YYYYMM,Count
King's Pawn Game: Tayler Opening,201301,86.0
French Defense: Steinitz Attack,201301,309.0
Queen's Gambit Refused: Albin Countergambit,201301,90.0
King's Indian Defense,201301,85.0
King's Pawn Game: Leonardis Variation,201301,1007.0
King's Pawn Game: Busch-Gass Gambit,201301,319.0
"Italian Game: Two Knights Defense, Knight Attack",201301,49.0
Alekhine Defense: Scandinavian Variation,201301,105.0
Caro-Kann Defense: Hillbilly Attack,201301,284.0
Semi-Slav Defense: Accelerated Move Order,201301,171.0
"Ruy Lopez Defense, Halloween Attack",201301,1.0
Bishop's Opening,201301,1375.0
Queen's Gambit Refused: Chigorin Defense #3,201301,95.0
"Alekhine Defense: Modern Variation, Schmid Variation",201301,13.0
English Opening: Symmetrical Variation,201301,125.0
Queen's Pawn Game #3,201301,412.0
"Italian Game: Classical Variation, La Bourdonnais Variation",201301,33.0
Alekhine Defense: Two Pawn Attack,201301,85.0
Borg Defense,201301,30.0
"King's Gambit Accepted, King's Knight Gambit",201301,250.0
Russian Game: Three Knights Game,201301,342.0
French Defense: Classical Variation,201301,9.0
Queen's Pawn Game: Mason Attack,201301,567.0
Alekhine Defense: Maroczy Variation,201301,101.0
Franco-Benoni Defense,201301,135.0
King's Pawn Game: King's Head Opening #2,201301,82.0
Queen's Pawn Game: Krause Variation,201301,164.0
Zukertort Opening: Tennison Gambit,201301,230.0
Queen's Pawn Game: Symmetrical Variation,201301,183.0
"English Opening: King's English Variation, Reversed Closed Sicilian",201301,121.0
Sicilian Defense: Smith-Morra Gambit Deferred,201301,20.0
French Defense: Rubinstein Variation,201301,117.0
"Scotch Game: Scotch Gambit, Dubois Reti Defense",201301,17.0
Four Knights Game: Spanish Variation,201301,101.0
Mieses Opening: Reversed Rat,201301,129.0
Scotch Game: Haxo Gambit,201301,64.0
Nimzo-Indian Defense #2,201301,111.0
Dutch Defense,201301,240.0
Sicilian Defense: Marshall Counterattack,201301,125.0
"Queen's Pawn Opening: Veresov Attack, Irish Gambit",201301,56.0
Nimzo-Indian Defense: Three Knights Variation,201301,43.0
Sicilian Defense: Morphy Gambit,201301,15.0
Queen's Pawn Game: Levitsky Attack,201301,199.0
Sicilian Defense: Closed,201301,142.0
"Alekhine Defense: Two Pawn Attack, Lasker Variation",201301,37.0
"Queen's Pawn Game: Levitsky Attack, Welling Variation",201301,6.0
"English Opening: King's English Variation, Reversed Sicilian",201301,302.0
"King's Gambit Accepted, Modern Defense",201301,50.0
Hungarian Opening,201301,1785.0
Torre Attack #2,201301,70.0
Sicilian Defense: Classical Variation,201301,52.0
"Queen's Pawn Opening: Veresov, Richter Attack",201301,37.0
"Sicilian Defense: Scheveningen Variation, Classical Variation",201301,20.0
Saragossa Opening,201301,590.0
"Sicilian Defense: Accelerated Dragon, Modern Variation",201301,105.0
Latvian Gambit Accepted,201301,109.0
Tarrasch Defense: Two Knights Variation,201301,12.0
Three Knights Opening: Steinitz Defense,201301,11.0
Queen's Pawn Game: Chigorin Variation,201301,1746.0
Slav Defense: Alekhine Variation,201301,14.0
Old Benoni Defense #2,201301,84.0
Benoni Defense,201301,22.0
Alekhine Defense: Normal Variation,201301,75.0
Scandinavian Defense: Blackburne-Kloosterboer Gambit,201301,15.0
Benoni Defense: King's Pawn Line,201301,42.0
Bird Opening: Dutch Variation,201301,373.0
Russian Game: Damiano Variation,201301,100.0
Sicilian Defense: Wing Gambit,201301,160.0
"French Defense: Winawer Variation, Winckelmann-Riemer Gambit",201301,18.0
Indian Game: Budapest Defense,201301,127.0
"King's Indian Defense: Normal Variation, King's Knight Variation",201301,54.0
Zukertort Opening: Black Mustang Defense,201301,134.0
Queen's Gambit Declined: Traditional Variation,201301,37.0
Reti Opening: Reti Accepted,201301,43.0
"Italian Game: Giuoco Pianissimo, Normal",201301,248.0
English Opening: Agincourt Defense #3,201301,34.0
Ruy Lopez: Nuernberg Variation,201301,49.0
Nimzo-Indian Defense: Normal Variation,201301,5.0
"Ruy Lopez: Marshall Attack, Steiner Variation",201301,29.0
"King's Gambit Accepted, Stamma Gambit",201301,125.0
Danish Gambit,201301,335.0
Center Game: Normal Variation,201301,373.0
Englund Gambit Complex: Soller Gambit,201301,21.0
Dutch Defense: Queen's Knight Variation,201301,136.0
"French Defense: Advance Variation, Main Line",201301,11.0
Philidor Defense: Morphy Gambit,201301,49.0
Ruy Lopez,201301,244.0
Ruy Lopez: Exchange Variation,201301,173.0
"King's Gambit Declined, Keene Defense",201301,24.0
Scotch Game: Malaniuk Variation,201301,21.0
Gruenfeld Defense: Exchange Variation,201301,30.0
Van Geet Opening: Reversed Nimzowitsch,201301,50.0
French Defense: Steiner Variation,201301,105.0
"Sicilian Defense: Canal Attack, Main Line",201301,70.0
"Alekhine Defense: Modern Variation, Alburt Variation",201301,11.0
"Ruy Lopez: Morphy Defense, Modern Steinitz Defense",201301,27.0
Polish Opening,201301,326.0
Catalan Opening: Open Defense,201301,8.0
"King's Gambit Accepted, Bishop's Gambit, Bogoljubov Variation",201301,12.0
Philidor Defense: Exchange Variation,201301,227.0
"Ruy Lopez: Schliemann Defense, Exchange Variation",201301,19.0
"Four Knights Game: Italian Variation, Noa Gambit",201301,28.0
"Queen's Gambit Accepted: Normal Variation, Traditional System",201301,24.0
King's Knight Opening: Normal Variation,201301,411.0
Ware Defense,201301,61.0
Latvian Gambit: Greco Variation,201301,1.0
"Modern Defense: Averbakh System, Kotov Variation",201301,5.0
Sicilian Defense: Najdorf Variation,201301,100.0
Reti Opening: Advance Variation,201301,32.0
Budapest Defense: Adler Variation,201301,67.0
"Caro-Kann Defense: Advance Variation, Short Variation",201301,135.0
King's Gambit Accepted: Modern Defense #2,201301,64.0
Queen's Gambit,201301,148.0
"Ruy Lopez: Berlin Defense, Beverwijk Variation",201301,70.0
"Nimzo-Indian Defense: Normal Variation, Ragozin Variation",201301,10.0
Nimzo-Larsen Attack: Modern Variation #3,201301,111.0
"Queen's Gambit Refused: Albin Countergambit, Fianchetto Variation",201301,8.0
Rat Defense: English Rat,201301,29.0
Italian Game: Schilling-Kostic Gambit,201301,252.0
Scotch Game: Scotch Gambit,201301,90.0
"Ruy Lopez: Open Variations, Dilworth Variation",201301,1.0
Scotch Game: Mieses Variation,201301,20.0
"Italian Game: Two Knights Defense, Max Lange Attack",201301,8.0
Latvian Gambit,201301,58.0
Latvian Gambit: Mason Countergambit,201301,6.0
"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Heinola-Deppe Gambit",201301,5.0
"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",201301,243.0
"King's Gambit Accepted, Fischer Defense",201301,221.0
"King's Gambit Accepted, Bishop's Gambit",201301,51.0
Philidor Defense: Hanham Variation,201301,102.0
"French Defense: Classical Variation, Steinitz Variation",201301,57.0
"French Defense: Tarrasch Variation, Closed Variation, Main Line",201301,4.0
Ponziani Opening,201301,201.0
Sicilian Defense: Franco-Sicilian Variation,201301,90.0
Paleface Attack,201301,34.0
Scotch Game: Meitner Variation,201301,1.0
"Queen's Pawn Game: Veresov Attack, Classical Defense",201301,87.0
Polish Defense,201301,149.0
Philidor Defense,201301,533.0
English Opening: Great Snake Variation,201301,169.0
English Opening: Agincourt Defense #2,201301,37.0
Caro-Kann Defense: Breyer Variation,201301,110.0
King's Knight Opening,201301,335.0
Center Game,201301,78.0
Blackmar-Diemer Gambit,201301,96.0
Sicilian Defense #2,201301,118.0
Modern Defense: Mongredien Defense #2,201301,69.0
Scotch Game: Schmidt Variation,201301,103.0
King's Indian Defense: 3.Nc3,201301,14.0
Hungarian Opening: Reversed Modern Defense,201301,43.0
Van Geet Opening: Gruenfeld Defense,201301,14.0
French Defense: Two Knights Variation,201301,99.0
Center Game: Paulsen Attack Variation,201301,60.0
"Queen's Pawn Game: Veresov Attack, Alburt Defense",201301,62.0
King's Gambit Declined: Keene's Defense #2,201301,36.0
"Queen's Gambit Refused: Chigorin Defense, Exchange Variation",201301,56.0
Hippopotamus Defense #2,201301,10.0
Philidor Defense: Exchange Variation #3,201301,113.0
"Danish Gambit Accepted, Chigorin Defense",201301,18.0
"French Defense: Winawer Variation, Advance Variation #3",201301,5.0
Rat Defense: Harmonist,201301,134.0
"Alekhine Defense: Four Pawns Attack, Trifunovic Variation",201301,18.0
"King's Gambit Declined: Classical, Soldatenkov Variation",201301,15.0
Ruy Lopez: Bird Variation,201301,174.0
Petrov's Defense #2,201301,136.0
Queen's Gambit Refused: Chigorin Defense,201301,62.0
Indian Game: East Indian Defense,201301,97.0
"Queen's Gambit Declined: Semi-Tarrasch Defense, Pillsbury Variation",201301,50.0
"Nimzowitsch Defense: Kennedy Variation, Main Line",201301,12.0
Sicilian Defense: Myers Attack #2,201301,4.0
"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",201301,210.0
"Ruy Lopez: Open Variations, Bernstein Variation",201301,8.0
Queen's Pawn Game: Colle System,201301,274.0
Ruy Lopez: Schliemann Defense,201301,10.0
Slav Defense: Quiet Variation,201301,19.0
Philidor Defense: Philidor Countergambit,201301,21.0
Caro-Kann Defense: Classical Variation,201301,77.0
Pirc Defense,201301,100.0
Goldsmith Defense,201301,88.0
Alekhine Defense: The Squirrel,201301,25.0
"English Opening: Symmetrical Variation, Normal Variation",201301,136.0
"Caro-Kann Defense: Panov Attack, Modern Defense, Mieses Line",201301,9.0
Colle System,201301,177.0
"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",201301,26.0
French Defense: Mediterranean Defense,201301,101.0
"King's Gambit, Falkbeer Countergambit Accepted",201301,38.0
King's Pawn Game: Maroczy Defense,201301,222.0
King's Pawn Game: Macleod Attack,201301,159.0
Ware Opening,201301,48.0
Zukertort Opening: Pirc Invitation,201301,130.0
Pirc Defense: Classical Variation,201301,143.0
Sicilian Defense: Grand Prix Attack,201301,43.0
"Sicilian Defense: Closed Variation, Fianchetto Variation",201301,35.0
Ruy Lopez: Classical Variation,201301,239.0
Queen's Gambit Declined: Modern Variation,201301,66.0
Slav Defense,201301,277.0
"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation",201301,9.0
Queen's Pawn Game: Anti-Torre,201301,151.0
"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation",201301,12.0
Queen's Indian Accelerated,201301,28.0
English Opening: Anglo-Scandinavian Defense,201301,247.0
Polish Opening: Czech Defense,201301,42.0
"Queen's Gambit Declined: Semi-Tarrasch Defense, Exchange Variation",201301,2.0
"Nimzowitsch Defense: Scandinavian Variation, Exchange Variation, Marshall Gambit",201301,39.0
"Sicilian Defense: Closed Variation, Traditional",201301,192.0
"French Defense: MacCutcheon, Advance Variation",201301,3.0
Philidor Defense: Exchange Variation #2,201301,287.0
Kadas Opening,201301,195.0
Italian Game: Hungarian Defense,201301,45.0
"Queen's Pawn Game: Torre Attack, Gossip Variation",201301,12.0
"Vienna Game: Stanley Variation, Reversed Spanish",201301,56.0
King's Pawn Game: Nimzowitsch Defense,201301,134.0
King's Pawn Game: Mengarini's Opening,201301,60.0
"King's Gambit Accepted, Bishop's Gambit, Maurian Defense",201301,24.0
Alekhine Defense: Krejcik Variation,201301,22.0
"Sicilian Defense: Lasker-Pelikan Variation, Retreat Variation",201301,19.0
Modern Defense: Standard Defense,201301,30.0
English Opening: Caro-Kann Defensive System,201301,137.0
Hungarian Opening: Catalan Formation,201301,222.0
"Danish Gambit Accepted, Classical Defense",201301,44.0
King's Pawn Game: Napoleon Attack,201301,347.0
"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",201301,140.0
Pirc Defense #2,201301,47.0
Indian Game: Anti-Nimzo-Indian,201301,73.0
"English Opening: Symmetrical Variation, Two Knights Variation",201301,66.0
Queen's Gambit Accepted: Deferred Variation,201301,11.0
Sicilian Defense: Lasker-Dunne Attack,201301,139.0
Reti Opening,201301,79.0
Scandinavian Defense: Boehnke Gambit,201301,96.0
"King's Indian Defense: Normal Variation, Rare Defenses",201301,45.0
Sicilian Defense: Snyder Variation,201301,63.0
Dutch Defense: Classical Variation,201301,36.0
Grob Opening,201301,147.0
French Defense: Burn Variation,201301,15.0
Semi-Bononi,201301,36.0
"Queen's Gambit Declined: Modern Variation, Normal Line",201301,52.0
Englund Gambit Complex Declined,201301,112.0
Queen's Pawn Game: Stonewall Attack,201301,93.0
Modern Defense: Averbakh Variation,201301,38.0
"Neo-Gruenfeld Defense: Classical Variation, Original Defense",201301,7.0
"Queen's Gambit Declined: Modern Variation, Heral Variation",201301,8.0
Queen's Gambit Declined: 4.Bg5 Be7,201301,96.0
Nimzo-Indian Defense,201301,62.0
Slav Defense: Exchange Variation,201301,119.0
Alekhine Defense: Mokele Mbembe,201301,37.0
"Nimzowitsch Defense: Kennedy Variation, de Smet Gambit",201301,16.0
"Ruy Lopez: Closed Variations, Chigorin Defense",201301,5.0
Blackmar-Diemer Gambit: Rasa-Studier Gambit,201301,3.0
"English Opening: Symmetrical Variation, Hedgehog Defense",201301,4.0
"Queen's Gambit Accepted: Central Variation, Rubinstein Defense",201301,4.0
Portuguese Opening,201301,71.0
Hungarian Opening: Slav Formation,201301,255.0
Budapest Defense,201301,24.0
Ponziani Opening: Jaenisch Counterattack,201301,150.0
Gruenfeld Defense,201301,30.0
Russian Game: Cozio (Lasker) Attack,201301,57.0
St. George Defense,201301,288.0
King's Indian Defense: Orthodox Variation,201301,33.0
"Danish Gambit Accepted, Copenhagen Defense",201301,33.0
"Sicilian Defense: Modern Variations, Tartakower",201301,32.0
Latvian Gambit: Clam Gambit,201301,4.0
Queen's Gambit Accepted: Accelerated Mannheim Variation,201301,58.0
"Italian Game: Classical Variation, Albin Gambit",201301,61.0
"King's Gambit Accepted, Cunningham Defense",201301,113.0
Nimzowitsch Defense: Neo-Mongoloid Defense,201301,2.0
Sicilian Defense: Open #2,201301,76.0
Lasker Simul Special,201301,3.0
Sicilian Defense: Open #3,201301,183.0
Richter-Veresov Attack,201301,30.0
French Defense: Marshall Variation,201301,73.0
French Defense,201301,33.0
Slav Defense: Three Knights Variation,201301,127.0
Hungarian Opening: Indian Defense,201301,56.0
"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",201301,56.0
Petrov's Defense,201301,175.0
Caro-Kann Defense: Exchange Variation,201301,218.0
Indian Game: West Indian Defense,201301,39.0
Zukertort Opening: Old Indian Attack,201301,49.0
"Queen's Gambit Refused: Chigorin Defense, Tartakower Gambit",201301,6.0
Bird Opening: From's Gambit,201301,73.0
"Scotch Game: Goering Gambit, Double Pawn Sacrifice",201301,65.0
Vienna Game: Mengarini Variation,201301,51.0
Pirc Defense: Austrian Attack,201301,17.0
Zukertort Opening: Slav Invitation,201301,66.0
"Philidor Defense: Nimzowitsch Variation, Klein Variation",201301,22.0
"Sicilian Defense: Modern Variations, Main Line",201301,38.0
Queen's Gambit Declined: Orthodox Defense,201301,24.0
Modern Defense: Three Pawns Attack,201301,78.0
"Pirc Defense: Austrian Attack, Weiss Variation",201301,19.0
Queen's Gambit Declined: Three Knights Variation,201301,198.0
"Four Knights Game: Spanish Variation, Classical Variation",201301,59.0
"Ruy Lopez: Morphy Defense, Caro Variation",201301,116.0
Nimzowitsch Defense: Franco-Nimzowitsch Variation,201301,108.0
"French Defense: Classical Variation, Burn Variation, Main Line",201301,3.0
Queen's Gambit Accepted: Gunsberg Defense,201301,8.0
King's Gambit Declined: Falkbeer Countergambit,201301,21.0
Nimzowitsch Defense: Pseudo-Spanish Variation,201301,58.0
Italian Game: Two Knights Defense,201301,111.0
Trompowsky Attack: Classical Defense,201301,21.0
"English Opening: Anglo-Indian Defense, Hedgehog System",201301,67.0
"Sicilian Defense: Dragon Variation, Classical Variation #2",201301,5.0
Blumenfeld Countergambit #2,201301,38.0
Slav Defense: Chameleon Variation,201301,15.0
"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",201301,46.0
"Gruenfeld Defense: Exchange Variation, Modern Exchange Variation",201301,26.0
"Sicilian Defense: Najdorf Variation, English Attack, Anti-English",201301,1.0
King's Indian Attack: French Variation,201301,61.0
Kangaroo Defense,201301,28.0
King's Indian Defense: Smyslov Variation,201301,25.0
Budapest Defense: Rubinstein Variation,201301,16.0
King's Indian Attack: Symmetrical Defense,201301,22.0
"King's Gambit Accepted, Rosentreter Gambit",201301,18.0
"French Defense: Alekhine-Chatard Attack, Breyer Variation",201301,8.0
Indian Game: Pawn Push Variation,201301,49.0
Scandinavian Defense: Kloosterboer Gambit,201301,28.0
Slav Defense: Soultanbeieff Variation,201301,5.0
Semi-Slav Defense: Main Line,201301,132.0
King's Pawn Game: Gunderam Gambit,201301,32.0
Center Game: Kieseritzky Variation #4,201301,31.0
"Sicilian Defense: Paulsen Variation, Bastrikov Variation, English Attack",201301,4.0
French Defense: Winawer Variation,201301,16.0
"English Opening: Symmetrical Variation, Fianchetto Variation",201301,43.0
Queen's Gambit Declined: Vienna Variation,201301,67.0
London System,201301,15.0
Caro-Kann Defense: Gurgenidze System,201301,21.0
Neo-Gruenfeld Defense: Classical Variation,201301,2.0
Italian Game: Classical Variation #2,201301,103.0
Ruy Lopez: Berlin Defense,201301,27.0
"Italian Game: Two Knights Defense, Fried Liver Attack",201301,70.0
Hungarian Opening: Symmetrical Variation,201301,213.0
King's Pawn Game: King's Head Opening,201301,9.0
King's Knight Opening: Konstantinopolsky,201301,50.0
Indian Game: Seirawan Attack,201301,31.0
"French Defense: Exchange Variation, Monte Carlo Variation",201301,93.0
"Scotch Game: Scotch Gambit, Advance Variation",201301,30.0
Scotch Game: Lolli Variation,201301,27.0
Guatemala Defense,201301,22.0
"Nimzowitsch Defense: Scandinavian Variation, Exchange Variation",201301,68.0
Slav Defense: Modern Line,201301,89.0
"Pirc Defense: Classical Variation, Schlechter Variation",201301,9.0
"Gruenfeld Defense: Russian Variation, Szabo (Boleslavsky)",201301,3.0
Queen's Gambit Declined: Tartakower Defense,201301,13.0
"French Defense: Winawer Variation, Delayed Exchange Variation",201301,21.0
"Caro-Kann Defense: Classical Variation, Main Line",201301,20.0
Blackmar-Diemer Gambit: Zeller Defense,201301,26.0
Queen's Gambit Accepted: Classical Defense,201301,4.0
